X_h	M_min	N_ion	R_mfp
0.866	467.37	29.47	12.65
0.473	467.37	114.74	35.71
0.634	508.95	95.79	10.34
0.91	467.37	20.0	10.34
0.611	716.84	152.63	10.34
0.433	508.95	133.68	28.79
0.91	716.84	29.47	19.57
0.0	51.58	114.74	26.48
0.892	592.11	29.47	12.65
0.725	675.26	86.32	14.96
0.176	259.47	162.11	14.96
0.558	134.74	38.95	14.96
0.352	301.05	95.79	35.71
0.025	301.05	190.53	33.4
0.373	217.89	114.74	8.04
0.769	508.95	114.74	3.43
0.448	592.11	190.53	12.65
0.726	93.16	20.0	8.04
0.004	51.58	124.21	17.26
0.15	93.16	95.79	10.34
0.94	425.79	133.68	1.12
0.036	176.32	114.74	33.4
0.969	716.84	181.05	1.12
0.512	800.0	181.05	24.18
0.057	10.0	124.21	3.43
0.178	508.95	190.53	40.32
0.76	592.11	67.37	10.34
0.437	93.16	38.95	26.48
0.0	217.89	181.05	40.32
0.0	10.0	162.11	24.18
0.171	217.89	190.53	10.34
0.235	342.63	133.68	26.48
0.693	592.11	124.21	5.73
0.743	800.0	95.79	14.96
0.242	51.58	48.42	10.34
0.63	51.58	133.68	1.12
0.186	301.05	181.05	14.96
0.023	176.32	171.58	21.87
0.192	384.21	190.53	19.57
0.919	800.0	29.47	35.71
0.772	342.63	38.95	17.26
0.237	176.32	105.26	12.65
0.679	217.89	38.95	38.01
0.766	800.0	86.32	21.87
0.191	259.47	105.26	38.01
0.38	467.37	133.68	33.4
0.377	592.11	181.05	21.87
0.361	134.74	95.79	5.73
0.034	93.16	114.74	17.26
0.0	134.74	152.63	38.01
0.919	800.0	29.47	33.4
0.551	342.63	76.84	19.57
0.625	550.53	95.79	38.01
0.766	800.0	86.32	40.32
0.332	176.32	76.84	14.96
0.274	301.05	105.26	40.32
0.272	259.47	95.79	33.4
0.047	259.47	162.11	28.79
0.421	51.58	29.47	33.4
0.026	10.0	38.95	14.96
0.615	217.89	48.42	10.34
0.576	259.47	57.89	31.1
0.799	592.11	114.74	3.43
0.598	217.89	48.42	35.71
0.306	467.37	200.0	14.96
0.597	508.95	95.79	31.1
0.62	467.37	133.68	5.73
0.91	467.37	20.0	38.01
0.0	10.0	86.32	14.96
0.305	384.21	124.21	38.01
0.847	550.53	38.95	19.57
0.956	550.53	190.53	1.12
0.234	342.63	124.21	38.01
0.039	259.47	190.53	24.18
0.107	342.63	152.63	38.01
0.721	176.32	29.47	28.79
0.062	342.63	181.05	33.4
0.939	716.84	20.0	19.57
0.753	675.26	76.84	33.4
0.035	134.74	152.63	17.26
0.566	467.37	95.79	26.48
0.796	716.84	67.37	40.32
0.035	93.16	200.0	10.34
0.804	592.11	105.26	3.43
0.828	342.63	29.47	40.32
0.972	758.42	152.63	1.12
0.392	508.95	162.11	17.26
0.931	633.68	20.0	31.1
0.44	675.26	181.05	21.87
0.964	633.68	124.21	1.12
0.382	384.21	114.74	26.48
0.783	675.26	67.37	33.4
0.059	176.32	190.53	14.96
0.79	592.11	67.37	5.73
0.0	10.0	57.89	21.87
0.017	51.58	124.21	12.65
0.682	217.89	57.89	3.43
0.961	592.11	105.26	1.12
0.852	716.84	48.42	19.57
0.584	93.16	29.47	40.32
0.016	176.32	162.11	24.18
0.398	176.32	86.32	8.04
0.391	508.95	190.53	12.65
0.754	467.37	57.89	8.04
0.51	716.84	181.05	14.96
0.7	550.53	76.84	38.01
0.432	633.68	162.11	35.71
0.48	217.89	67.37	12.65
0.74	93.16	162.11	1.12
0.205	259.47	200.0	10.34
0.746	592.11	76.84	8.04
0.803	508.95	76.84	3.43
0.809	301.05	29.47	40.32
0.242	301.05	171.58	12.65
0.783	675.26	67.37	40.32
0.571	592.11	124.21	14.96
0.497	633.68	152.63	19.57
0.211	51.58	48.42	12.65
0.0	10.0	162.11	35.71
0.755	592.11	67.37	24.18
0.681	716.84	105.26	38.01
0.893	800.0	38.95	19.57
0.282	93.16	48.42	28.79
0.663	800.0	124.21	38.01
0.206	425.79	171.58	26.48
0.494	342.63	86.32	21.87
0.0	10.0	171.58	14.96
0.551	675.26	143.16	19.57
0.039	134.74	171.58	14.96
0.016	51.58	67.37	24.18
0.38	716.84	200.0	33.4
0.873	425.79	29.47	3.43
0.344	176.32	86.32	10.34
0.071	10.0	105.26	3.43
0.004	134.74	162.11	24.18
0.713	716.84	95.79	14.96
0.894	592.11	29.47	5.73
0.0	51.58	200.0	28.79
0.398	550.53	152.63	28.79
0.523	176.32	67.37	5.73
0.351	176.32	133.68	5.73
0.37	134.74	200.0	3.43
0.623	51.58	20.0	14.96
0.549	550.53	114.74	31.1
0.121	259.47	133.68	26.48
0.541	758.42	190.53	12.65
0.428	425.79	114.74	28.79
0.904	675.26	29.47	33.4
0.454	217.89	67.37	17.26
0.942	758.42	20.0	5.73
0.218	508.95	181.05	38.01
0.563	716.84	143.16	40.32
0.001	134.74	143.16	31.1
0.794	93.16	38.95	1.12
0.0	51.58	171.58	31.1
0.536	675.26	143.16	33.4
0.0	51.58	152.63	26.48
0.0	10.0	143.16	40.32
0.497	301.05	76.84	24.18
0.586	592.11	114.74	19.57
0.044	93.16	181.05	10.34
0.382	342.63	143.16	10.34
0.574	425.79	86.32	40.32
0.341	467.37	181.05	14.96
0.206	259.47	114.74	24.18
0.904	675.26	29.47	31.1
0.309	425.79	200.0	12.65
0.01	10.0	143.16	5.73
0.394	259.47	181.05	5.73
0.777	550.53	67.37	5.73
0.272	550.53	181.05	35.71
0.92	716.84	29.47	3.43
0.694	716.84	171.58	5.73
0.52	467.37	105.26	31.1
0.65	259.47	48.42	14.96
0.834	675.26	95.79	3.43
0.188	342.63	171.58	19.57
0.819	716.84	200.0	3.43
0.0	176.32	190.53	38.01
0.919	800.0	29.47	24.18
0.442	384.21	114.74	14.96
0.611	800.0	143.16	35.71
0.632	633.68	143.16	8.04
0.024	176.32	190.53	19.57
0.303	217.89	105.26	12.65
0.425	758.42	200.0	28.79
0.232	384.21	162.11	21.87
0.922	550.53	20.0	24.18
0.0	10.0	57.89	35.71
0.781	51.58	20.0	1.12
0.942	758.42	20.0	12.65
0.785	425.79	48.42	5.73
0.386	592.11	171.58	24.18
0.163	217.89	105.26	26.48
0.785	384.21	57.89	3.43
0.952	508.95	124.21	1.12
0.29	384.21	190.53	12.65
0.939	425.79	152.63	1.12
0.586	467.37	162.11	5.73
0.001	217.89	190.53	35.71
0.872	301.05	20.0	38.01
0.802	134.74	181.05	1.12
0.494	301.05	76.84	31.1
0.738	93.16	181.05	1.12
0.434	176.32	57.89	26.48
0.665	675.26	133.68	8.04
0.746	716.84	95.79	8.04
0.945	800.0	20.0	14.96
0.927	592.11	20.0	19.57
0.079	342.63	171.58	33.4
0.444	550.53	143.16	24.18
0.207	134.74	200.0	5.73
0.007	134.74	171.58	21.87
0.564	633.68	143.16	12.65
0.949	467.37	67.37	1.12
0.835	633.68	48.42	10.34
0.481	758.42	181.05	26.48
0.622	716.84	124.21	40.32
0.784	550.53	114.74	3.43
0.726	425.79	67.37	5.73
0.003	10.0	57.89	14.96
0.852	716.84	48.42	40.32
0.692	384.21	57.89	33.4
0.755	592.11	67.37	38.01
0.809	425.79	38.95	40.32
0.014	259.47	162.11	40.32
0.772	342.63	38.95	40.32
0.859	758.42	86.32	3.43
0.0	51.58	162.11	24.18
0.61	508.95	95.79	14.96
0.431	134.74	48.42	40.32
0.266	550.53	181.05	38.01
0.673	342.63	124.21	3.43
0.003	176.32	181.05	28.79
0.276	259.47	152.63	10.34
0.789	592.11	57.89	14.96
0.021	217.89	171.58	26.48
0.875	675.26	38.95	8.04
0.585	758.42	181.05	10.34
0.22	176.32	86.32	21.87
0.643	301.05	124.21	3.43
0.702	425.79	162.11	3.43
0.0	51.58	171.58	38.01
0.002	176.32	152.63	35.71
0.569	716.84	162.11	12.65
0.852	176.32	95.79	1.12
0.0	10.0	114.74	31.1
0.844	675.26	48.42	14.96
0.228	425.79	190.53	19.57
0.922	550.53	20.0	26.48
0.001	10.0	200.0	8.04
0.033	51.58	76.84	17.26
0.296	342.63	114.74	35.71
0.666	342.63	57.89	12.65
0.31	508.95	171.58	24.18
0.597	508.95	95.79	40.32
0.735	592.11	95.79	5.73
0.762	758.42	86.32	10.34
0.641	384.21	67.37	21.87
0.515	217.89	57.89	28.79
0.336	259.47	95.79	19.57
0.004	93.16	143.16	21.87
0.927	592.11	20.0	31.1
0.34	550.53	200.0	17.26
0.0	10.0	48.42	33.4
0.872	301.05	20.0	40.32
0.381	10.0	86.32	1.12
0.0	134.74	162.11	35.71
0.704	716.84	105.26	10.34
0.4	675.26	181.05	38.01
0.253	384.21	162.11	19.57
0.851	800.0	133.68	3.43
0.471	134.74	48.42	12.65
0.77	633.68	67.37	33.4
0.72	467.37	181.05	3.43
0.748	301.05	38.95	26.48
0.048	217.89	190.53	19.57
0.787	592.11	143.16	3.43
0.508	259.47	67.37	21.87
0.271	176.32	200.0	5.73
0.485	467.37	124.21	14.96
0.561	342.63	76.84	14.96
0.342	384.21	162.11	12.65
0.939	716.84	20.0	14.96
0.0	51.58	67.37	38.01
0.866	467.37	29.47	40.32
0.693	259.47	48.42	5.73
0.847	550.53	38.95	24.18
0.884	342.63	20.0	14.96
0.834	633.68	48.42	35.71
0.081	384.21	190.53	33.4
0.665	675.26	105.26	17.26
0.48	592.11	152.63	17.26
0.515	342.63	86.32	14.96
0.161	259.47	143.16	19.57
0.623	51.58	20.0	31.1
0.454	550.53	171.58	12.65
0.634	384.21	95.79	5.73
0.0	10.0	105.26	31.1
0.0	51.58	124.21	38.01
0.366	425.79	124.21	38.01
0.609	467.37	86.32	38.01
0.526	675.26	162.11	14.96
0.577	508.95	105.26	14.96
0.623	301.05	57.89	28.79
0.492	384.21	114.74	10.34
0.535	716.84	181.05	12.65
0.789	592.11	57.89	24.18
0.874	675.26	38.95	10.34
0.596	467.37	152.63	5.73
0.433	342.63	105.26	14.96
0.91	467.37	20.0	40.32
0.774	800.0	114.74	5.73
0.692	384.21	57.89	28.79
0.379	675.26	190.53	31.1
0.823	592.11	48.42	21.87
0.481	384.21	95.79	31.1
0.105	301.05	143.16	33.4
0.387	176.32	76.84	10.34
0.927	592.11	20.0	28.79
0.001	10.0	57.89	17.26
0.844	800.0	57.89	10.34
0.085	134.74	114.74	17.26
0.015	217.89	162.11	31.1
0.671	592.11	143.16	5.73
0.697	467.37	67.37	17.26
0.718	259.47	38.95	38.01
0.554	633.68	162.11	10.34
0.556	259.47	190.53	3.43
0.802	633.68	57.89	35.71
0.443	716.84	181.05	31.1
0.008	10.0	95.79	8.04
0.436	384.21	105.26	24.18
0.855	800.0	114.74	3.43
0.824	716.84	57.89	17.26
0.598	508.95	95.79	26.48
0.811	134.74	105.26	1.12
0.534	716.84	162.11	17.26
0.599	675.26	124.21	40.32
0.002	93.16	190.53	19.57
0.718	508.95	67.37	24.18
0.161	217.89	200.0	10.34
0.479	508.95	124.21	24.18
0.294	425.79	143.16	28.79
0.403	134.74	67.37	8.04
0.744	467.37	57.89	10.34
0.076	301.05	143.16	40.32
0.495	342.63	162.11	5.73
0.865	592.11	48.42	3.43
0.372	134.74	57.89	14.96
0.884	550.53	29.47	40.32
0.922	342.63	171.58	1.12
0.866	633.68	38.95	17.26
0.928	800.0	29.47	3.43
0.034	176.32	105.26	40.32
0.802	633.68	57.89	28.79
0.527	425.79	95.79	26.48
0.615	592.11	105.26	26.48
0.019	217.89	143.16	35.71
0.884	550.53	29.47	33.4
0.65	592.11	95.79	28.79
0.229	301.05	114.74	33.4
0.0	51.58	143.16	31.1
0.638	508.95	86.32	24.18
0.914	467.37	20.0	3.43
0.683	716.84	114.74	10.34
0.823	592.11	48.42	17.26
0.492	716.84	171.58	21.87
0.053	10.0	67.37	5.73
0.073	342.63	181.05	31.1
0.166	134.74	162.11	8.04
0.357	467.37	162.11	17.26
0.572	800.0	162.11	19.57
0.956	550.53	181.05	1.12
0.0	51.58	143.16	21.87
0.775	550.53	57.89	12.65
0.121	259.47	162.11	19.57
0.538	425.79	181.05	5.73
0.472	716.84	190.53	17.26
0.064	10.0	38.95	10.34
0.684	425.79	67.37	10.34
0.837	217.89	20.0	35.71
0.589	93.16	29.47	12.65
0.286	93.16	57.89	12.65
0.622	51.58	162.11	1.12
0.946	467.37	152.63	1.12
0.664	800.0	124.21	24.18
0.449	467.37	124.21	21.87
0.835	467.37	48.42	3.43
0.0	10.0	105.26	40.32
0.002	259.47	190.53	40.32
0.04	51.58	67.37	19.57
0.473	716.84	171.58	31.1
0.002	176.32	162.11	33.4
0.432	134.74	48.42	31.1
0.696	467.37	67.37	38.01
0.209	342.63	162.11	19.57
0.917	301.05	57.89	1.12
0.83	716.84	57.89	8.04
0.804	508.95	48.42	8.04
0.758	508.95	57.89	33.4
0.721	176.32	29.47	31.1
0.816	342.63	38.95	3.43
0.59	758.42	143.16	26.48
0.517	550.53	133.68	14.96
0.748	301.05	38.95	38.01
0.0	10.0	86.32	31.1
0.9	800.0	48.42	3.43
0.969	716.84	171.58	1.12
0.0	10.0	200.0	38.01
0.928	342.63	57.89	1.12
0.593	716.84	133.68	33.4
0.749	508.95	152.63	3.43
0.763	425.79	48.42	26.48
0.939	716.84	20.0	8.04
0.0	51.58	76.84	38.01
0.531	592.11	162.11	10.34
0.721	176.32	29.47	17.26
0.597	508.95	95.79	35.71
0.555	592.11	124.21	19.57
0.258	217.89	86.32	31.1
0.131	217.89	133.68	19.57
0.426	217.89	76.84	12.65
0.455	592.11	162.11	17.26
0.824	716.84	57.89	21.87
0.66	592.11	152.63	5.73
0.866	467.37	29.47	17.26
0.067	425.79	200.0	40.32
0.613	675.26	171.58	8.04
0.0	93.16	162.11	31.1
0.663	550.53	86.32	24.18
0.339	10.0	20.0	8.04
0.892	592.11	29.47	31.1
0.856	425.79	29.47	8.04
0.448	675.26	171.58	26.48
0.068	51.58	124.21	8.04
0.945	800.0	20.0	33.4
0.595	716.84	133.68	24.18
0.675	301.05	95.79	3.43
0.507	716.84	162.11	26.48
0.796	716.84	67.37	28.79
0.639	633.68	105.26	40.32
0.309	467.37	152.63	28.79
0.584	259.47	57.89	14.96
0.704	301.05	76.84	3.43
0.483	716.84	171.58	24.18
0.824	716.84	57.89	31.1
0.327	384.21	124.21	28.79
0.513	425.79	105.26	14.96
0.0	51.58	190.53	17.26
0.234	508.95	200.0	24.18
0.774	633.68	67.37	10.34
0.3	467.37	152.63	31.1
0.658	633.68	105.26	12.65
0.001	176.32	171.58	33.4
0.713	550.53	76.84	10.34
0.779	550.53	124.21	3.43
0.172	342.63	143.16	31.1
0.347	592.11	171.58	40.32
0.672	758.42	114.74	40.32
0.176	425.79	190.53	24.18
0.568	675.26	133.68	31.1
0.052	51.58	86.32	12.65
0.254	93.16	105.26	5.73
0.518	384.21	171.58	5.73
0.611	592.11	114.74	12.65
0.844	675.26	48.42	21.87
0.689	800.0	114.74	35.71
0.434	675.26	171.58	38.01
0.29	93.16	190.53	3.43
0.529	342.63	105.26	8.04
0.55	592.11	190.53	8.04
0.429	384.21	105.26	28.79
0.619	633.68	152.63	8.04
0.484	301.05	143.16	5.73
0.147	51.58	105.26	5.73
0.866	633.68	38.95	26.48
0.658	592.11	95.79	14.96
0.431	633.68	162.11	38.01
0.661	675.26	105.26	35.71
0.0	93.16	143.16	40.32
0.625	550.53	95.79	40.32
0.609	467.37	86.32	28.79
0.558	800.0	162.11	33.4
0.686	675.26	162.11	5.73
0.342	425.79	152.63	17.26
0.607	633.68	133.68	10.34
0.852	716.84	48.42	14.96
0.251	217.89	86.32	33.4
0.707	467.37	67.37	10.34
0.65	592.11	95.79	38.01
0.504	259.47	76.84	10.34
0.0	10.0	162.11	26.48
0.738	633.68	76.84	31.1
0.943	425.79	67.37	1.12
0.663	508.95	95.79	8.04
0.302	93.16	86.32	5.73
0.71	716.84	95.79	35.71
0.856	259.47	20.0	12.65
0.834	758.42	57.89	14.96
0.623	425.79	114.74	5.73
0.474	800.0	190.53	40.32
0.344	425.79	133.68	26.48
0.011	301.05	190.53	40.32
0.942	758.42	20.0	28.79
0.651	301.05	67.37	5.73
0.94	425.79	124.21	1.12
0.197	176.32	86.32	24.18
0.005	259.47	200.0	35.71
0.606	550.53	114.74	10.34
0.137	259.47	133.68	24.18
0.451	384.21	162.11	8.04
0.506	592.11	133.68	35.71
0.763	758.42	114.74	5.73
0.867	467.37	29.47	10.34
0.0	10.0	181.05	14.96
0.031	10.0	48.42	10.34
0.535	384.21	86.32	31.1
0.0	93.16	162.11	26.48
0.347	467.37	143.16	28.79
0.623	51.58	20.0	26.48
0.867	467.37	29.47	8.04
0.537	550.53	133.68	12.65
0.716	425.79	57.89	40.32
0.636	425.79	76.84	12.65
0.386	301.05	105.26	14.96
0.111	93.16	86.32	14.96
0.77	633.68	67.37	21.87
0.0	134.74	171.58	38.01
0.341	633.68	190.53	31.1
0.237	93.16	86.32	8.04
0.198	342.63	143.16	26.48
0.753	675.26	76.84	28.79
0.212	342.63	152.63	21.87
0.721	176.32	29.47	12.65
0.242	550.53	200.0	28.79
0.382	467.37	152.63	17.26
0.241	592.11	200.0	40.32
0.607	508.95	105.26	10.34
0.941	342.63	20.0	1.12
0.0	10.0	171.58	35.71
0.004	217.89	171.58	35.71
0.212	301.05	152.63	17.26
0.363	508.95	152.63	26.48
0.465	800.0	200.0	24.18
0.774	550.53	57.89	19.57
0.408	301.05	143.16	8.04
0.696	800.0	114.74	14.96
0.505	675.26	152.63	31.1
0.0	51.58	200.0	19.57
0.622	425.79	76.84	26.48
0.655	384.21	86.32	5.73
0.939	716.84	20.0	38.01
0.041	134.74	86.32	38.01
0.0	10.0	181.05	33.4
0.679	508.95	76.84	21.87
0.089	384.21	181.05	35.71
0.226	176.32	124.21	10.34
0.213	51.58	76.84	5.73
0.898	633.68	29.47	14.96
0.257	259.47	95.79	40.32
0.421	384.21	105.26	40.32
0.169	342.63	181.05	19.57
0.0	134.74	200.0	26.48
0.5	592.11	181.05	10.34
0.763	425.79	48.42	35.71
0.456	10.0	48.42	1.12
0.575	633.68	124.21	24.18
0.061	93.16	76.84	24.18
0.692	675.26	95.79	24.18
0.852	716.84	48.42	38.01
0.758	217.89	29.47	33.4
0.098	176.32	152.63	14.96
0.254	467.37	171.58	26.48
0.0	134.74	171.58	31.1
0.091	342.63	171.58	31.1
0.647	51.58	95.79	1.12
0.541	633.68	133.68	26.48
0.0	10.0	190.53	35.71
0.48	633.68	171.58	14.96
0.638	758.42	181.05	8.04
0.738	633.68	76.84	19.57
0.737	550.53	67.37	38.01
0.002	134.74	114.74	38.01
0.711	716.84	114.74	8.04
0.615	425.79	95.79	8.04
0.279	592.11	190.53	38.01
0.66	342.63	57.89	40.32
0.573	592.11	171.58	8.04
0.855	425.79	29.47	26.48
0.705	633.68	86.32	33.4
0.0	51.58	152.63	40.32
0.379	467.37	143.16	21.87
0.186	508.95	190.53	38.01
0.598	217.89	48.42	28.79
0.07	342.63	190.53	28.79
0.932	342.63	38.95	1.12
0.598	217.89	48.42	33.4
0.85	716.84	86.32	3.43
0.29	51.58	48.42	8.04
0.123	176.32	86.32	40.32
0.718	259.47	38.95	40.32
0.585	93.16	29.47	17.26
0.653	467.37	76.84	28.79
